CommonName,ScientificName,CNFromBirdlife,SNFromBirdlife,DisplayOrder,ServcatClassID
Pileated Woodpecker,Dryocopus pileatus,Pileated Woodpecker,Hylatomus pileatus,551,84833
Ivory-billed Woodpecker,Campephilus principalis,Ivory-billed Woodpecker,Campephilus principalis,552,85741
Collared Forest-Falcon,Micrastur semitorquatus,Collared Forest-falcon,Micrastur semitorquatus,553,82602
Crested Caracara,Caracara cheriway,Crested Caracara,Caracara cheriway,554,81843
Eurasian Kestrel,Falco tinnunculus,Common Kestrel,Falco tinnunculus,555,82541
American Kestrel,Falco sparverius,American Kestrel,Falco sparverius,556,82543
Red-footed Falcon,Falco vespertinus,Red-footed Falcon,Falco vespertinus,557,82580
Merlin,Falco columbarius,Merlin,Falco columbarius,558,82533
Eurasian Hobby,Falco subbuteo,Eurasian Hobby,Falco subbuteo,559,82578
Aplomado Falcon,Falco femoralis,Aplomado Falcon,Falco femoralis,560,82530
Gyrfalcon,Falco rusticolus,Gyrfalcon,Falco rusticolus,561,81847
Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Falco peregrinus,562,81854
Prairie Falcon,Falco mexicanus,Prairie Falcon,Falco mexicanus,563,81853
Rosy-faced Lovebird,Agapornis roseicollis,Rosy-faced Lovebird,Agapornis roseicollis,564,86630
Monk Parakeet,Myiopsitta monachus,Monk Parakeet,Myiopsitta monachus,565,87670
Carolina Parakeet,Conuropsis carolinensis,Carolina Parakeet,Conuropsis carolinensis,566,84655
Nanday Parakeet,Aratinga nenday,Nanday Parakeet,Aratinga nenday,567,1006100
Green Parakeet,Psittacara holochlorus,Green Parakeet,Psittacara holochlorus,568,87625
Thick-billed Parrot,Rhynchopsitta pachyrhyncha,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,569,84660
White-winged Parakeet,Brotogeris versicolurus,White-winged Parakeet,Brotogeris versicolurus,570,87694
Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Amazona viridigenalis,571,89074
Northern Beardless-Tyrannulet,Camptostoma imberbe,Northern Beardless-tyrannulet,Camptostoma imberbe,572,85865
Greenish Elaenia,Myiopagis viridicata,Greenish Elaenia,Myiopagis viridicata,573,265802
White-crested Elaenia,Elaenia albiceps,White-crested Elaenia,Elaenia albiceps,574,278914
Tufted Flycatcher,Mitrephanes phaeocercus,Tufted Flycatcher,Mitrephanes phaeocercus,575,265377
Olive-sided Flycatcher,Contopus cooperi,Olive-sided Flycatcher,Contopus cooperi,576,267828
Greater Pewee,Contopus pertinax,Greater Pewee,Contopus pertinax,577,85843
Western Wood-Pewee,Contopus sordidulus,Western Wood-pewee,Contopus sordidulus,578,85848
Eastern Wood-Pewee,Contopus virens,Eastern Wood-pewee,Contopus virens,579,85846
Cuban Pewee,Contopus caribaeus,Greater Antillean Pewee,Contopus caribaeus,580,85854
Yellow-bellied Flycatcher,Empidonax flaviventris,Yellow-bellied Flycatcher,Empidonax flaviventris,581,85823
Acadian Flycatcher,Empidonax virescens,Acadian Flycatcher,Empidonax virescens,582,85824
Alder Flycatcher,Empidonax alnorum,Alder Flycatcher,Empidonax alnorum,583,85826
Willow Flycatcher,Empidonax traillii,Willow Flycatcher,Empidonax traillii,584,85827
Least Flycatcher,Empidonax minimus,Least Flycatcher,Empidonax minimus,585,85830
Hammond's Flycatcher,Empidonax hammondii,Hammond's Flycatcher,Empidonax hammondii,586,264075
Gray Flycatcher,Empidonax wrightii,Grey Flycatcher,Empidonax wrightii,587,85833
